[2025-03-04 16:43:26.825]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 16:43:26.900]	 Already installed "tmux-yank"
[2025-03-04 16:43:26.900]	 Already installed "tmux-cpu"
[2025-03-04 16:43:26.911]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 16:43:26.945]	 Updating all plugins!
[2025-03-04 16:43:26.945]	 
[2025-03-04 16:43:28.435]	   "tmux-yank" update success
[2025-03-04 16:43:28.438]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 16:43:28.438]	     | Already up to date.
[2025-03-04 16:43:28.561]	   "tmux-cpu" update success
[2025-03-04 16:43:28.565]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 16:43:28.565]	     | Already up to date.
[2025-03-04 16:43:28.577]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-03-04 16:43:28.650]	 Done.

[2025-03-04 17:05:00.873]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-03-04 17:05:00.882]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 17:05:00.933]	 Already installed "tmux-yank"
[2025-03-04 17:05:00.934]	 Already installed "tmux-cpu"
[2025-03-04 17:05:00.943]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 17:05:00.963]	 Updating all plugins!
[2025-03-04 17:05:00.963]	 
[2025-03-04 17:05:02.603]	   "tmux-yank" update success
[2025-03-04 17:05:02.603]	   "tmux-cpu" update success
[2025-03-04 17:05:02.606]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 17:05:02.606]	     | Already up to date.
[2025-03-04 17:05:02.606]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 17:05:02.606]	     | Already up to date.
[2025-03-04 17:05:02.616]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-03-04 17:05:02.664]	 Done.

[2025-03-04 22:29:53.217]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-03-04 22:29:53.227]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 22:29:53.279]	 Already installed "tmux-yank"
[2025-03-04 22:29:53.279]	 Already installed "tmux-cpu"
[2025-03-04 22:29:53.289]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 22:29:53.310]	 Updating all plugins!
[2025-03-04 22:29:53.310]	 
[2025-03-04 22:29:54.749]	   "tmux-cpu" update success
[2025-03-04 22:29:54.749]	   "tmux-yank" update success
[2025-03-04 22:29:54.752]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:29:54.752]	     | Already up to date.
[2025-03-04 22:29:54.752]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:29:54.752]	     | Already up to date.
[2025-03-04 22:29:54.763]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-03-04 22:29:54.815]	 Done.

[2025-03-04 22:32:01.498]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-03-04 22:32:01.508]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 22:32:01.560]	 Already installed "tmux-yank"
[2025-03-04 22:32:01.561]	 Already installed "tmux-cpu"
[2025-03-04 22:32:01.571]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 22:32:01.592]	 Updating all plugins!
[2025-03-04 22:32:01.592]	 
[2025-03-04 22:32:03.040]	   "tmux-cpu" update success
[2025-03-04 22:32:03.042]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:32:03.042]	     | Already up to date.
[2025-03-04 22:32:03.091]	   "tmux-yank" update success
[2025-03-04 22:32:03.093]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:32:03.093]	     | Already up to date.
[2025-03-04 22:32:03.104]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-03-04 22:32:03.158]	 Done.

[2025-03-04 22:33:31.967]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-03-04 22:33:31.977]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 22:33:32.030]	 Already installed "tmux-yank"
[2025-03-04 22:33:32.030]	 Already installed "tmux-cpu"
[2025-03-04 22:33:32.040]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 22:33:32.061]	 Updating all plugins!
[2025-03-04 22:33:32.061]	 
[2025-03-04 22:33:33.582]	   "tmux-yank" update success
[2025-03-04 22:33:33.584]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:33:33.584]	     | Already up to date.
[2025-03-04 22:33:33.649]	   "tmux-cpu" update success
[2025-03-04 22:33:33.651]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:33:33.651]	     | Already up to date.
[2025-03-04 22:33:33.661]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-03-04 22:33:33.711]	 Done.

[2025-03-04 22:33:44.937]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-03-04 22:33:44.946]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 22:33:44.998]	 Already installed "tmux-yank"
[2025-03-04 22:33:44.998]	 Already installed "tmux-cpu"
[2025-03-04 22:33:45.007]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 22:33:45.029]	 Updating all plugins!
[2025-03-04 22:33:45.030]	 
[2025-03-04 22:33:46.523]	   "tmux-yank" update success
[2025-03-04 22:33:46.526]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:33:46.526]	     | Already up to date.
[2025-03-04 22:33:46.599]	   "tmux-cpu" update success
[2025-03-04 22:33:46.601]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
